player,country,rating_2
wilj,South Africa,1.08
Wilky,United States,1.01
will1zera,Brazil,0.93
WillPowerme,New Zealand,0.52
Winnieeeee,Australia,0.92
wipeout,South Africa,0.93
WIPSKY,Latvia,0.95
wist,Canada,0.68
X-23,United States,1.01
x1ron,Iran,1.35
X44VIER,Australia,0.51
Xadoxg0d,Estonia,1.03
xaler,United States,0.93
xam,United States,1.03
xan,China,1.16
xan,Brazil,0.93
XANTARES,Turkey,1.16
xanzu,Philippines,1.18
xavi,Hungary,1.0
Xbenz,Estonia,1.38
xCAPE,United States,0.91
XCR,Germany,0.74
xds,Georgia,0.69
xeedo,Belarus,1.01
xelex,Hungary,0.7
XELLOW,Romania,1.11
xelos,Sweden,0.99
xenization,Mongolia,0.57
xerolte,Mongolia,1.02
xertioN,Israel,1.12
xezr,Estonia,1.01
xfl0ud,Turkey,1.06
xia,Slovakia,1.08
xiaosaGe,China,1.08
XiaoWu,China,1.1
xicoz,North Macedonia,1.04
XigN,Korea,1.12
xKacpersky,Poland,1.11
xm1nd,Serbia,0.88
xns,Brazil,1.02
xonn1k,Kosovo,0.92
xpouya,Kazakhstan,0.85
xR4ze,Belarus,0.99
xReal,Switzerland,1.02
xsany,Ukraine,0.7
xseveN,Finland,1.0
XtaSy,United States,0.98
xureba,Brazil,1.07
xxlafy,Ukraine,0.79
xxriotpro,United States,0.81
Xydoo,Poland,1.01
xype,Sweden,0.91
xZeRq,Iceland,0.67
ya talant,Belarus,0.56
yaankz,Latvia,1.29
yab0ku-,Ukraine,0.84
Yamero,Latvia,1.16
yAmi,Mongolia,1.08
Yaqk,Kyrgyzstan,1.1
YEKINDAR,Latvia,1.12
yel,Brazil,1.0
Yeneurs,France,0.91
yepz,Brazil,0.99
yERKA,Hungary,0.7
yilammm,Hong Kong,0.75
ykis,Finland,1.06
YNGHunter,United States,1.0
yngtrxpstxr,Uzbekistan,0.83
ynoT,United States,0.72
yoda,United States,0.76
Yoghi,Romania,1.18
yolt,Finland,0.95
yoom,Netherlands,0.83
yoshi,Belarus,0.97
Yoshwa,United Kingdom,1.0
youngjoey,Thailand,0.84
yourwombat,Australia,0.99
ysauro,Belarus,1.16
yugo,United States,0.85
yukitoro,Ukraine,0.89
yuN,Portugal,0.93
yungher,Brazil,1.14
YuRk0,Spain,0.8
yuu,Brazil,0.78
yuurih,Brazil,1.17
